z_index,file,background_counts,raw_peak,saturation_fraction
0,z0_1.bmg,3.0,1539,0.3758241758241758
0,z0_2.bmg,3.0,1544,0.37704517704517704
0,z0_3.bmg,2.0,1521,0.37142857142857144
0,z0_4.bmg,3.0,1547,0.37777777777777777
1,z1_1.bmg,2.0,1854,0.45274725274725275
1,z1_2.bmg,3.0,1913,0.46715506715506716
1,z1_3.bmg,2.0,1736,0.4239316239316239
1,z1_4.bmg,1.0,1799,0.4393162393162393
2,z2_1.bmg,3.0,1980,0.4835164835164835
2,z2_2.bmg,2.0,2047,0.4998778998778999
2,z2_3.bmg,4.0,2012,0.4913308913308913
2,z2_4.bmg,2.0,2026,0.49474969474969477
3,z3_1.bmg,4.0,2373,0.5794871794871795
3,z3_2.bmg,2.0,2222,0.5426129426129426
3,z3_3.bmg,2.0,2254,0.5504273504273505
3,z3_4.bmg,1.0,2284,0.5577533577533578
4,z4_1.bmg,3.0,2647,0.6463980463980464
4,z4_2.bmg,2.0,2588,0.631990231990232
4,z4_3.bmg,3.0,2518,0.6148962148962149
4,z4_4.bmg,2.0,2661,0.6498168498168498
5,z5_1.bmg,2.0,2836,0.6925518925518925
5,z5_2.bmg,4.0,2903,0.708913308913309
5,z5_3.bmg,3.0,2694,0.6578754578754579
5,z5_4.bmg,3.0,2943,0.7186813186813187
6,z6_1.bmg,1.0,2949,0.7201465201465201
6,z6_2.bmg,2.0,3091,0.7548229548229548
6,z6_3.bmg,5.0,2977,0.726984126984127
6,z6_4.bmg,3.0,3139,0.7665445665445666
7,z7_1.bmg,2.0,3350,0.818070818070818
7,z7_2.bmg,3.0,3224,0.7873015873015873
7,z7_3.bmg,2.0,3172,0.7746031746031746
7,z7_4.bmg,2.0,3288,0.802930402930403
8,z8_1.bmg,3.0,3376,0.8244200244200244
8,z8_2.bmg,1.0,3361,0.8207570207570207
8,z8_3.bmg,2.0,3433,0.8383394383394384
8,z8_4.bmg,2.0,3673,0.896947496947497
9,z9_1.bmg,3.0,3952,0.9650793650793651
9,z9_2.bmg,2.0,4010,0.9792429792429792
9,z9_3.bmg,2.0,4005,0.978021978021978
9,z9_4.bmg,1.0,3812,0.9308913308913309
10,z10_1.bmg,4.0,4009,0.978998778998779
10,z10_2.bmg,2.0,4009,0.978998778998779
10,z10_3.bmg,1.0,4009,0.978998778998779
10,z10_4.bmg,4.0,4009,0.978998778998779
11,z11_1.bmg,4.0,4011,0.9794871794871794
11,z11_2.bmg,3.0,4011,0.9794871794871794
11,z11_3.bmg,4.0,4011,0.9794871794871794
11,z11_4.bmg,2.0,4011,0.9794871794871794
12,z12_1.bmg,4.0,4008,0.9787545787545787
12,z12_2.bmg,2.0,4008,0.9787545787545787
12,z12_3.bmg,3.0,4008,0.9787545787545787
12,z12_4.bmg,3.0,4008,0.9787545787545787
13,z13_1.bmg,2.0,4008,0.9787545787545787
13,z13_2.bmg,2.0,4008,0.9787545787545787
13,z13_3.bmg,3.0,4008,0.9787545787545787
13,z13_4.bmg,2.0,4008,0.9787545787545787
14,z14_1.bmg,2.0,4010,0.9792429792429792
14,z14_2.bmg,4.0,4010,0.9792429792429792
14,z14_3.bmg,3.0,4010,0.9792429792429792
14,z14_4.bmg,0.0,4010,0.9792429792429792
15,z15_1.bmg,3.0,4009,0.978998778998779
15,z15_2.bmg,2.0,4009,0.978998778998779
15,z15_3.bmg,3.0,4009,0.978998778998779
15,z15_4.bmg,2.0,4011,0.9794871794871794
16,z16_1.bmg,5.0,4014,0.9802197802197802
16,z16_2.bmg,1.0,4014,0.9802197802197802
16,z16_3.bmg,2.0,4014,0.9802197802197802
16,z16_4.bmg,4.0,4014,0.9802197802197802
17,z17_1.bmg,2.0,4016,0.9807081807081807
17,z17_2.bmg,4.0,4016,0.9807081807081807
17,z17_3.bmg,3.0,4016,0.9807081807081807
17,z17_4.bmg,1.0,4016,0.9807081807081807
