method,z_relative_mm,pearson_r_to_target,normalized_rmse_to_target,azimuthal_principal_ring_cv,dark_core_to_ring_mean,centroid_x_um,centroid_y_um
Ideal finite-energy model,-17.0,0.0968876315480564,0.17267235117377847,0.020666394783547943,0.00046925724050469884,-0.8949263235522382,-0.19383474385285138
Ideal finite-energy model,-16.0,0.2024398091766671,0.16061401382406448,0.01869365966319818,0.00047550587921100563,-0.8801985637857117,-0.051450666240769244
Ideal finite-energy model,-15.0,0.26537318709833163,0.1549609668920142,0.030242872162990205,0.00027137193088435025,0.39285407771269915,0.0662993898708065
Ideal finite-energy model,-14.0,0.30681046670642304,0.15109316008147114,0.026176670365803636,0.0004990352713066117,1.312030695775729,-0.06116843940943959
Ideal finite-energy model,-13.0,0.2603011800471244,0.1465758255897709,0.05878807924474779,0.0005968614475222538,0.8124496539939947,-0.43901566131427894
Ideal finite-energy model,-12.0,0.28807392084105393,0.13868229231033832,0.068853203917533,0.0011990096160696862,-1.5108018480464989,-1.0578692468895028
Ideal finite-energy model,-11.0,0.4733048986173467,0.126402081099022,0.09717112996825221,0.002492453702065017,-2.768596681497118,-1.4270860257731812
Ideal finite-energy model,-10.0,0.7355806052513918,0.10035422025830794,0.14933723511178396,0.001127900564421851,0.1260851946544152,-1.0251607901523683
Ideal finite-energy model,-9.0,0.8320453376524748,0.0900475184103216,0.15017855507164943,0.0013510839558988669,3.302821470959156,-0.267104102449855
Ideal finite-energy model,-8.0,0.6280102389710299,0.10420137168504437,0.1688168365079925,0.0032602758622907505,3.964196341446459,0.34780694634828324
Ideal finite-energy model,-7.0,0.41654766063797355,0.13127584170818915,0.2847434400952064,0.004117703333528339,0.5573407172038262,0.326663762545658
Ideal finite-energy model,-6.0,0.22166397924092537,0.1572710678340522,0.3327507932754421,0.011360426593344554,-6.743118333753,0.0971537008979085
Ideal finite-energy model,-5.0,0.3566760476193633,0.16745374732249302,0.4053033543745953,0.0065658806085510555,-5.587258219474429,0.3299570929496236
Ideal finite-energy model,-4.0,0.35505495222473643,0.19733236290181655,0.40170413254448634,0.0038076256086609795,2.12185471477116,-0.018259684867638598
Ideal finite-energy model,-3.0,0.309255080259153,0.2071149482579486,0.3868316474569616,0.004053976474665766,4.764112238567536,0.32793466506973856
Ideal finite-energy model,-2.0,0.1525422980369804,0.1922411420027821,0.4490335290881253,0.018837786344338723,4.838931374482516,0.9153098871890331
Ideal finite-energy model,-1.0,-0.02431652037214674,0.218697105906141,0.35048400433932025,0.04416135851403658,-3.169622152545699,0.16557155561260362
Ideal finite-energy model,0.0,0.12436018847677943,0.22132057314633619,0.4785039749580368,0.06343120206970222,-7.043385999845526,-0.29229744086750487
Miao error applied to ideal,-17.0,0.095833666016067,0.17197763397823032,0.046276092522785715,0.005032126762729883,-0.9188152747980826,-0.3805398775474918
Miao error applied to ideal,-16.0,0.2030218381585835,0.15610670438279867,0.034491783834226346,0.0045401014266551205,-0.7980712961869503,-0.23621895315411198
Miao error applied to ideal,-15.0,0.2658733918160141,0.15197911664100128,0.0377333969273507,0.0029798317496512856,0.37000376425000286,-0.11173430646760103
Miao error applied to ideal,-14.0,0.30561083068205314,0.15117739980040387,0.03503979493123896,0.0026931114375740015,1.3155369239310961,-0.22918574635134853
Miao error applied to ideal,-13.0,0.2567075529941095,0.14652987152316782,0.06537822807836648,0.003970336842944678,0.8486074491632236,-0.6305755316051094
Miao error applied to ideal,-12.0,0.27924902409029806,0.1406117920600939,0.08135515226339164,0.007421798225485777,-1.4186624724457677,-1.265589881973579
Miao error applied to ideal,-11.0,0.46396000053457626,0.1260425854826389,0.10926208007857298,0.010405961240879544,-2.626128078251912,-1.593226377880283
Miao error applied to ideal,-10.0,0.730442328431497,0.10234267131098777,0.15431502748189582,0.0071787843736487505,0.2192504849157904,-1.139680490460472
Miao error applied to ideal,-9.0,0.827555027871575,0.09077592434835575,0.15552378692056207,0.006897043257442072,3.3035339331421065,-0.3767297458188685
Miao error applied to ideal,-8.0,0.6209697979654337,0.10447623638730662,0.1776321466037442,0.010823874039093372,3.9001326741599347,0.20601966632434293
Miao error applied to ideal,-7.0,0.3928539891898888,0.13054021622946335,0.2962896323171847,0.018355373983423427,0.5324878071108081,0.1878461958244042
Miao error applied to ideal,-6.0,0.20326342679667278,0.1581258992727374,0.3557706245777726,0.03472188591122928,-6.443085374172322,-0.12958339590787504
Miao error applied to ideal,-5.0,0.3461295740267388,0.16915249917831027,0.4170487724096186,0.020595594610533466,-5.3194218570700285,0.04330749506036624
Miao error applied to ideal,-4.0,0.34992635354186535,0.19546306798987653,0.4041796733672178,0.009979598620523398,2.091186425963889,-0.2459695812644512
Miao error applied to ideal,-3.0,0.3024154754515412,0.20661328284248562,0.3949418629912305,0.011729455073010594,4.64514391826454,0.09216125275462607
Miao error applied to ideal,-2.0,0.13654442383516327,0.19305066040952967,0.45306113425719724,0.036099066296603026,4.797576476147246,0.6801828072697557
Miao error applied to ideal,-1.0,-0.036239514900964526,0.21914841060711474,0.3598342415425593,0.07128392741409018,-2.7091704283268965,-0.010779173006312351
Miao error applied to ideal,0.0,0.10562471504282543,0.22390372166398015,0.5171684697766914,0.11350656997363157,-6.012938799647753,-0.5523479809225998
Full-model fitted error,-17.0,0.12391494218612431,0.1561108203134349,0.17881218556918294,0.0004004678031439877,0.8051367690876646,-0.08021836773575534
Full-model fitted error,-16.0,0.17755739907731358,0.1532969869377422,0.08012897910637531,0.00038434657367604757,-1.8265074000596082,-0.3591601829357381
Full-model fitted error,-15.0,0.23033554055341418,0.14858936702910192,0.1205596769026621,0.0004631563107173914,-2.7662614750462216,-0.20795109924331692
Full-model fitted error,-14.0,0.28316977034446295,0.14770572452305455,0.15650594450067032,0.0005378166438921721,-0.6419271121692351,-0.22137517194389245
Full-model fitted error,-13.0,0.30168623623523055,0.1358794751934036,0.17044886224486272,0.00046804457676996705,2.3988749448162032,-0.6445894451149723
Full-model fitted error,-12.0,0.4186865628244191,0.12497846034836406,0.244871049356132,0.0013085686424830012,2.1643830652841616,-1.3335560899415497
Full-model fitted error,-11.0,0.532724032470186,0.12180686163614503,0.14799147319735803,0.0011614534832837585,-1.179171706568888,-1.2222750772755666
Full-model fitted error,-10.0,0.7039816068281409,0.10101419136351995,0.08969064431071652,0.0014135277412809554,-1.6898595804789724,-0.5416401026432952
Full-model fitted error,-9.0,0.7968949130183351,0.08423063042326263,0.13015283983541712,0.0022434650876409497,0.36342627027312746,-0.13952553338871646
Full-model fitted error,-8.0,0.6040772525918757,0.10900487936373783,0.36924277904290637,0.0030940403575368115,2.4491170294167786,-0.3097687354251439
Full-model fitted error,-7.0,0.5830829712196207,0.12636698410754735,0.515315953836782,0.002943038496972221,0.35256813633275563,-0.8631381704127055
Full-model fitted error,-6.0,0.41989699191778346,0.15192534413393396,0.36011008650034815,0.00410403732455281,-1.2170878307220159,-0.2875694443167988
Full-model fitted error,-5.0,0.2805579158032876,0.17564637036798184,0.17967843668903608,0.004284622043518586,0.9466536847889553,0.390416018577595
Full-model fitted error,-4.0,0.2655717891061384,0.18396297954463525,0.3602431569470162,0.005819613516144581,1.4029684247006893,2.2081629120145783
Full-model fitted error,-3.0,0.27214857027192313,0.20897883565581843,0.5389467426299595,0.009390735759444508,0.5909678804249073,2.996398199976753
Full-model fitted error,-2.0,0.23520490815630146,0.20972347055770166,0.5247097498024075,0.01426576614671772,-4.124802249068226,1.6856367246688826
Full-model fitted error,-1.0,0.1724285087199697,0.2034589228248597,0.36235521001407006,0.030057957327052475,-0.7089599626573789,-0.30286533859575837
Full-model fitted error,0.0,0.032000216005084396,0.23172995205401067,0.26899522486541305,0.031062290047317382,-0.13763714922658685,-1.2137973018304542
