z_index,core_x_raw_px,core_y_raw_px,z_relative_mm,x_relative_um,y_relative_um
0,1312.0,1127.0,-17.0,-10.999999999999725,49.500000000000064
1,1313.0,1125.0,-16.0,-5.500000000000297,38.499999999999474
2,1313.0,1124.0,-15.0,-5.500000000000297,33.00000000000004
3,1313.0,1123.0,-14.0,-5.500000000000297,27.499999999999748
4,1313.0,1123.0,-13.0,-5.500000000000297,27.499999999999748
5,1314.0,1122.0,-12.0,0.0,22.000000000000316
6,1314.0,1121.0,-11.0,0.0,16.50000000000002
7,1314.0,1120.0,-10.0,0.0,10.999999999999725
8,1314.0,1119.0,-9.0,0.0,5.500000000000297
9,1314.0,1117.0,-8.0,0.0,-5.500000000000297
10,1314.0,1117.0,-7.0,0.0,-5.500000000000297
11,1314.0,1115.0,-6.0,0.0,-16.50000000000002
12,1314.0,1114.0,-5.0,0.0,-22.000000000000316
13,1315.0,1114.0,-4.0,5.500000000000297,-22.000000000000316
14,1315.0,1113.0,-3.0,5.500000000000297,-27.499999999999748
15,1315.0,1112.0,-2.0,5.500000000000297,-33.00000000000004
16,1315.0,1111.0,-1.0,5.500000000000297,-38.50000000000034
17,1315.0,1110.0,0.0,5.500000000000297,-43.999999999999766
