z_index,z_relative_mm,principal_ring_radius_um,k_perp_ring_geometry_m_inv,k_perp_radial_fit_m_inv,k_perp_fit_sigma_m_inv,radial_fit_correlation,fit_status,k_perp_miao_m_inv,used_for_robust_k_perp
0,-17.0,44.25,502127.60413336277,491989.2989877323,2537.0771036256424,0.8212767455920874,fit,527689.4265262398,True
1,-16.0,45.75,485664.40399784263,476482.8102678885,2449.5275980330753,0.8517692661512304,fit,528240.3144557042,True
2,-15.0,44.25,502127.60413336277,488634.6381596955,2539.876366950918,0.8275726294608874,fit,529892.9782435815,True
3,-14.0,44.25,502127.60413336277,485847.91875453433,2398.1950839155124,0.84882414546889,fit,531545.6420317673,True
4,-13.0,44.25,502127.60413336277,486017.6173560397,2839.109386405592,0.785998558445316,fit,534300.0816782588,True
5,-12.0,45.75,485664.40399784263,466264.51239479624,3042.9973494152864,0.7977102807104276,fit,534300.0816784899,True
6,-11.0,45.75,485664.40399784263,478153.34223560244,2796.861419310884,0.8086958187362416,fit,534850.9696073511,True
7,-10.0,45.75,485664.40399784263,480446.2106581811,2806.320485526768,0.8018034662859211,fit,527138.5385971166,True
8,-9.0,45.75,485664.40399784263,482622.29092979856,2864.4513400970304,0.7721345801696045,fit,524934.9868798213,True
9,-8.0,45.75,485664.40399784263,482860.53745223104,2221.3916674511293,0.8551558663605167,fit,528791.2023849013,True
10,-7.0,44.25,502127.60413336277,484904.47036074987,2661.452939275561,0.8105583799145151,fit,532096.5299610854,True
11,-6.0,45.75,485664.40399784263,478809.49233923753,2502.6315951811926,0.8317888305086097,fit,534850.9696075853,True
12,-5.0,45.75,485664.40399784263,480213.83586048783,2327.6201431546406,0.8465041140034523,fit,534300.0816783905,True
13,-4.0,45.75,485664.40399784263,478056.896040942,2686.2349079570845,0.8101370073528005,fit,533749.1937489079,True
14,-3.0,45.75,485664.40399784263,477146.1731957482,2740.3627673135998,0.8004851613683295,fit,530443.8661730865,True
15,-2.0,44.25,502127.60413336277,488001.21046952775,2288.862340452722,0.8290509051844517,fit,528791.2023848258,True
16,-1.0,44.25,502127.60413336277,490416.9849678533,2319.2798846227674,0.8180119211816301,fit,527138.5385970448,True
17,0.0,44.25,502127.60413336277,491824.5185669447,2402.911008156877,0.8043333907313646,fit,526036.7627384128,True
