z_index,z_relative_mm,z_absolute_model_mm,measured_ring_radius_um,nominal_ring_radius_um,ring_radius_error_um,radial_profile_correlation,nominal_dark_core_to_ring
0,-17.0,31.0,44.25,45.75,1.5,0.8922704855045465,0.000359008925334339
1,-16.0,32.0,45.75,45.75,0.0,0.9282222962922706,0.00034985772970807925
2,-15.0,33.0,44.25,45.75,1.5,0.9113342714197511,0.00023064321343363374
3,-14.0,34.0,44.25,45.75,1.5,0.9261270369249444,0.0003843558441631772
4,-13.0,35.0,44.25,45.75,1.5,0.8753086728549411,0.0005257665099222367
5,-12.0,36.00000000000001,45.75,45.75,0.0,0.8659694421614615,0.0009467702605829405
6,-11.0,37.0,45.75,45.75,0.0,0.8895752012841258,0.0017374906386678707
7,-10.0,38.0,44.25,45.75,1.5,0.8986700233878931,0.0009016208949916276
8,-9.0,39.0,44.25,45.75,1.5,0.8811096241639504,0.0009416678420337464
9,-8.0,40.0,45.75,45.75,0.0,0.9408888891986837,0.0022937020920587824
10,-7.0,41.0,44.25,47.25,3.0,0.8788761346797598,0.0036933390465447424
11,-6.0,42.0,45.75,45.75,0.0,0.926630706146285,0.007454397815669856
12,-5.0,43.0,45.75,45.75,0.0,0.9728502547802546,0.0050014696080305406
13,-4.0,44.0,45.75,45.75,0.0,0.9351980919630012,0.0033986537481154105
14,-3.0,45.0,44.25,47.25,3.0,0.9411440851512537,0.0036432537058215413
15,-2.0,46.0,44.25,47.25,3.0,0.9017877628555284,0.015030497222778631
16,-1.0,47.0,44.25,45.75,1.5,0.9676416080976817,0.031075637626116915
17,0.0,48.0,44.25,42.75,-1.5,0.8990585357866565,0.043624310049532905
