method,z_relative_mm,pearson_r_to_target,normalized_rmse_to_target,azimuthal_principal_ring_cv,dark_core_to_ring_mean,centroid_x_um,centroid_y_um
Measured BMG,-17.0,0.09688763141259299,0.17267235125501543,0.6345807245444773,0.13457202674920452,-6.677338922900169,21.117352178731615
Measured BMG,-16.0,0.20243980915872062,0.16061401382916923,0.5315194526134914,0.035962231563155374,-4.196087253468108,17.684241167733077
Measured BMG,-15.0,0.2653731876109807,0.15496096680852237,0.49513638158682616,0.025845275981942674,-0.18345412735084154,13.23695242813169
Measured BMG,-14.0,0.3068104670408595,0.1510931601734152,0.5036425556359982,0.029428482185933014,1.3516626765853323,8.456781316844996
Measured BMG,-13.0,0.2603011793142388,0.1465758257157233,0.5235182832851468,0.03728249393227063,-0.204582524243781,4.363314942841477
Measured BMG,-12.0,0.2880739205121556,0.13868229232506393,0.39509523098158184,0.015826817101997192,0.14809983024288692,3.7424681913658846
Measured BMG,-11.0,0.47330489867606257,0.12640208105435025,0.22269701972960104,0.009105677180436393,-0.3381273799880356,3.8757783923025375
Measured BMG,-10.0,0.7355806051626155,0.10035422023947609,0.17661281267815,0.005847181995416098,0.7981769906483956,2.561561817411851
Measured BMG,-9.0,0.8320453374683248,0.09004751841899733,0.21173338748481263,0.006044379729494727,2.89165774766136,-0.3814600273877797
Measured BMG,-8.0,0.6280102390142822,0.10420137176106034,0.20936465904125395,0.0055905370380419225,3.632517479499197,-7.44901322966905
Measured BMG,-7.0,0.41654766007958755,0.1312758416940622,0.17111417595153786,0.006151181524569269,5.319964349919694,-12.32963496714102
Measured BMG,-6.0,0.22166397900933585,0.15727106791696177,0.1600669255048031,0.004661840838716771,4.861737524928598,-18.613291322766077
Measured BMG,-5.0,0.35667604799922575,0.16745374718089315,0.15915569346558647,0.0044612793109036165,2.85950914890667,-19.542218686962602
Measured BMG,-4.0,0.355054952182445,0.19733236297052426,0.1650988019047355,0.005264157547815605,2.7086691977813353,-19.203077856153364
Measured BMG,-3.0,0.3092550798995805,0.20711494823044338,0.2874748788315826,0.009063619140224162,3.0502192692423726,-20.21056343815411
Measured BMG,-2.0,0.1525422989104947,0.19224114193151548,0.38789361351492097,0.01725473178364579,3.158599881383083,-21.162376029642818
Measured BMG,-1.0,-0.024316520374801868,0.21869710580502677,0.5126509043237785,0.0378292758187274,2.2690250053189587,-23.21207528830175
Measured BMG,0.0,0.12436018857484216,0.2213205732383348,0.5078582720614183,0.04645505170607343,3.76953118965264,-28.57140214459531
Calibrated physical baseline,-17.0,0.9910670640900134,0.017835020056080095,0.04009737669049212,0.000544775080133551,-0.656846367096922,-0.08745236908623107
Calibrated physical baseline,-16.0,0.9848711638377646,0.0380734202654102,0.02607800107965564,0.000385033350620146,-1.8293775374608947,-0.1836178396769668
Calibrated physical baseline,-15.0,0.9955375963784103,0.017707926414507216,0.04321600166771588,0.00045656518989772675,-0.5684877157302515,-0.056092290153279926
Calibrated physical baseline,-14.0,0.9980880844950258,0.014341834829727786,0.031563388671117215,0.0004490335092722763,1.1955269353852986,-0.22038351066593082
Calibrated physical baseline,-13.0,0.9938862827669356,0.02245452760729781,0.04132652798007117,0.0004680955992237503,1.2504757967635454,-0.6614846168161559
Calibrated physical baseline,-12.0,0.9909661174050569,0.017499363218950133,0.051691572588418284,0.0016806775606470405,-0.6890317084742366,-1.144337153953346
Calibrated physical baseline,-11.0,0.9949970346456913,0.011635348306878473,0.10420897961950865,0.0014717779486931063,-1.4985962478724923,-1.048590643182854
Calibrated physical baseline,-10.0,0.9969796708076469,0.008957638301814334,0.140463343970807,0.0013098508979433971,1.6627443301413032,-0.5885406424394156
Calibrated physical baseline,-9.0,0.9945708512491789,0.01636028370439844,0.13388465451363013,0.0017616796111944496,3.372523124779503,-0.1259495011359046
Calibrated physical baseline,-8.0,0.9814291127975125,0.028668399486147106,0.19306036783731123,0.0030899025576677378,1.4923244133823408,-0.018390499980513793
Calibrated physical baseline,-7.0,0.9269719756845767,0.04493275250584881,0.2859192545593118,0.003690941460402328,-3.6445872809696755,-0.18227412632756776
Calibrated physical baseline,-6.0,0.8796470971207785,0.06591639016295314,0.3664600436846271,0.0039878687847169,-4.391850940286465,0.6439721888824883
Calibrated physical baseline,-5.0,0.9104946465119271,0.04662204151934081,0.3515738429935228,0.0038217632932010534,1.5195042467386677,0.840576442589471
Calibrated physical baseline,-4.0,0.9035028695144223,0.04770464711692398,0.34560513980617863,0.004409207577619684,4.784741144513078,0.804742004776082
Calibrated physical baseline,-3.0,0.8208262778916844,0.06655660920173588,0.3618774232690929,0.012950924755145402,3.412220920244447,0.7006701768292956
Calibrated physical baseline,-2.0,0.5975956234811243,0.08726571838708667,0.38770721390548796,0.022442920358243655,-3.6866163607095683,1.6035270481682884
