z_index,z_relative_mm,grid_index,k_perp_m_inv,radial_cost,cost_rank
0,-17.0,229,527689.4265264246,0.5434744395930429,1
0,-17.0,90,451116.0043498143,0.5508571388162941,2
0,-17.0,147,482516.6163215178,0.5858528901298912,3
0,-17.0,3,403188.7544982669,0.6462595128295705,4
0,-17.0,61,435140.2543992985,0.6813710704143587,5
0,-17.0,27,416410.06480214203,0.6864556412361472,6
0,-17.0,320,577820.2280952845,0.7401293363164431,7
1,-16.0,230,528240.3144557527,0.5059020179921581,1
1,-16.0,90,451116.0043498143,0.542408293572381,2
1,-16.0,147,482516.6163215178,0.5659423234936469,3
1,-16.0,2,402637.86656893877,0.6347541617439216,4
1,-16.0,62,435691.14232862665,0.6477161805862106,5
1,-16.0,29,417511.8406607983,0.6873542592370189,6
1,-16.0,320,577820.2280952845,0.7013117860649424,7
2,-15.0,233,529892.9782437371,0.4709067077107697,1
2,-15.0,145,481414.8404628615,0.5377047185369959,2
2,-15.0,90,451116.0043498143,0.5435935144155329,3
2,-15.0,60,434589.3664699704,0.6162525061786946,4
2,-15.0,30,418062.72859012644,0.6650076628819345,5
2,-15.0,320,577820.2280952845,0.678901194470649,6
3,-14.0,236,531545.6420317215,0.43301480146183774,1
3,-14.0,144,480863.95253353345,0.5135460035761404,2
3,-14.0,90,451116.0043498143,0.534453576283119,3
3,-14.0,59,434038.47854064225,0.6052956970876284,4
3,-14.0,3,403188.7544982669,0.6056099473347119,5
3,-14.0,30,418062.72859012644,0.6313005856106547,6
3,-14.0,320,577820.2280952845,0.6734595930522395,7
4,-13.0,241,534300.0816783621,0.41951496530128585,1
4,-13.0,142,479762.1766748772,0.522769277835025,2
4,-13.0,91,451666.89227914246,0.5331362404412665,3
4,-13.0,3,403188.7544982669,0.6080573530599961,4
4,-13.0,59,434038.47854064225,0.6195969754803472,5
4,-13.0,29,417511.8406607983,0.6361055347172024,6
4,-13.0,320,577820.2280952845,0.6523463487122612,7
5,-12.0,241,534300.0816783621,0.34930182498364326,1
5,-12.0,140,478660.4008162209,0.4751403458780972,2
5,-12.0,98,455523.10778443934,0.48629866349249384,3
5,-12.0,60,434589.3664699704,0.6044418387209274,4
5,-12.0,320,577820.2280952845,0.6317301423722489,5
6,-11.0,242,534850.9696076903,0.2558126662425589,1
6,-11.0,100,456624.8836430956,0.44213289774951686,2
6,-11.0,89,450565.1164204862,0.44451569256464923,3
6,-11.0,139,478109.5128868928,0.4595437390305245,4
6,-11.0,68,438996.4699045954,0.5674960481899342,5
6,-11.0,320,577820.2280952845,0.5682480159148725,6
7,-10.0,228,527138.5385970965,0.15567556983664155,1
7,-10.0,101,457175.77157242375,0.30114514885861077,2
7,-10.0,89,450565.1164204862,0.3043692927743071,3
7,-10.0,138,477558.62495756464,0.3330429812790603,4
7,-10.0,68,438996.4699045954,0.44373259327299386,5
7,-10.0,4,403739.64242759504,0.5147177736665838,6
7,-10.0,30,418062.72859012644,0.5291357003003115,7
7,-10.0,320,577820.2280952845,0.6524395766314945,8
8,-9.0,224,524934.9868797839,0.14023359896690624,1
8,-9.0,139,478109.5128868928,0.20752227113288485,2
8,-9.0,101,457175.77157242375,0.22092757083283981,3
8,-9.0,68,438996.4699045954,0.43309033306307154,4
8,-9.0,4,403739.64242759504,0.5117083414415357,5
8,-9.0,30,418062.72859012644,0.5267450553554378,6
8,-9.0,320,577820.2280952845,0.7398406522277576,7
9,-8.0,231,528791.2023850809,0.20080474177210433,1
9,-8.0,89,450565.1164204862,0.2860317591672127,2
9,-8.0,139,478109.5128868928,0.38801123082613825,3
9,-8.0,67,438445.58197526727,0.41684414258791946,4
9,-8.0,3,403188.7544982669,0.4360678829940371,5
9,-8.0,29,417511.8406607983,0.471185928084972,6
9,-8.0,320,577820.2280952845,0.6896216315030709,7
10,-7.0,237,532096.5299610497,0.22985794417823255,1
10,-7.0,88,450014.22849115805,0.35682676172159405,2
10,-7.0,99,456073.9957137675,0.3659316966467782,3
10,-7.0,138,477558.62495756464,0.4268621461458832,4
10,-7.0,2,402637.86656893877,0.4592425706813271,5
10,-7.0,68,438996.4699045954,0.47470457443572867,6
10,-7.0,320,577820.2280952845,0.6694663184837242,7
11,-6.0,242,534850.9696076903,0.3541218951214258,1
11,-6.0,141,479211.28874554904,0.4416471077974053,2
11,-6.0,91,451666.89227914246,0.46674328034750134,3
11,-6.0,59,434038.47854064225,0.5738701347196842,4
11,-6.0,320,577820.2280952845,0.6925927723811778,5
12,-5.0,241,534300.0816783621,0.3950391171363061,1
12,-5.0,143,480313.0646042053,0.4500397336735189,2
12,-5.0,91,451666.89227914246,0.49789742851123736,3
12,-5.0,2,402637.86656893877,0.531031695574041,4
12,-5.0,58,433487.5906113141,0.5767456400348526,5
12,-5.0,27,416410.06480214203,0.5779628022297143,6
12,-5.0,320,577820.2280952845,0.6847805097083722,7
13,-4.0,240,533749.1937490341,0.4360563156674777,1
13,-4.0,144,480863.95253353345,0.4909229374962597,2
13,-4.0,89,450565.1164204862,0.5393529480777866,3
13,-4.0,2,402637.86656893877,0.5797231371113724,4
13,-4.0,58,433487.5906113141,0.5914307434470016,5
13,-4.0,29,417511.8406607983,0.6084804600859085,6
13,-4.0,320,577820.2280952845,0.6975663379982486,7
14,-3.0,234,530443.8661730653,0.47120413795936866,1
14,-3.0,147,482516.6163215178,0.5101656423110869,2
14,-3.0,89,450565.1164204862,0.5363635809727775,3
14,-3.0,60,434589.3664699704,0.6029721906683281,4
14,-3.0,0,401536.0907102825,0.605006323784029,5
14,-3.0,29,417511.8406607983,0.6525497134202118,6
14,-3.0,320,577820.2280952845,0.6877329486714073,7
15,-2.0,231,528791.2023850809,0.5007096149069076,1
15,-2.0,90,451116.0043498143,0.5141264046754525,2
15,-2.0,148,483067.50425084593,0.518055007237118,3
15,-2.0,0,401536.0907102825,0.609195186961076,4
15,-2.0,61,435140.2543992985,0.6146794248064789,5
15,-2.0,29,417511.8406607983,0.6719978291858701,6
15,-2.0,320,577820.2280952845,0.6860571510050063,7
16,-1.0,90,451116.0043498143,0.49267403304635765,1
16,-1.0,228,527138.5385970965,0.5271738978623631,2
16,-1.0,148,483067.50425084593,0.5338851610489758,3
16,-1.0,3,403188.7544982669,0.6065318826589103,4
16,-1.0,62,435691.14232862665,0.6429076568904227,5
16,-1.0,320,577820.2280952845,0.712122730567138,6
17,0.0,91,451666.89227914246,0.4983114224004993,1
