z_index,z_relative_mm,independent_k_perp_m_inv,global_k_perp_m_inv,independent_radial_cost,global_radial_cost,fractional_change_from_previous,candidate_branch_rank,k_perp_global_std_m_inv,branch_selection_fraction,independent_fit_corr,global_fit_corr,independent_fit_nrmse,global_fit_nrmse,independent_modal_order,global_modal_order
0,-17.0,435215.43727077486,527689.4265262398,0.681381987919235,0.5434744395931276,nan,1,691.6636291310462,1.0,0.8240598878653635,0.8004964790382036,0.454881631456791,0.4969379934091485,26,30
1,-16.0,451059.8894201653,528240.3144557042,0.5424776533803398,0.5059020179921999,0.0010439624176114654,1,779.0731810034798,0.9583333333333334,0.8463229290708078,0.8349083105165905,0.4391510546093034,0.44975587963676184,24,30
2,-15.0,434743.539433753,529892.9782435815,0.616286922467652,0.4709067077107713,0.0031286210890211948,1,818.3230609436399,0.9583333333333334,0.8302890655670583,0.8374312312930551,0.45582650415396553,0.4454084416238667,20,26
3,-14.0,451123.6986405164,531545.6420317673,0.53446034742589,0.4330148014618423,0.003118863347961004,1,1621.1202741238576,0.6666666666666666,0.8306589342350724,0.8421701288069874,0.46439980653471347,0.4469959708130948,18,24
4,-13.0,479843.0069095373,534300.0816782588,0.5227992213295887,0.41951496530130916,0.005181943804417329,1,2145.4002529376085,0.5833333333333334,0.8543592466007248,0.8333312582361528,0.4404467405755631,0.46131451020782976,18,20
5,-12.0,478816.2253872265,534300.0816784899,0.47518950970568313,0.34930182498366663,4.324993046989995e-13,1,1697.3299233624477,0.5833333333333334,0.8374444931577513,0.8323747366374629,0.45067364269281346,0.48007069321247603,18,18
6,-11.0,478030.65277644934,534850.9696073511,0.45958785686271364,0.25581266624259363,0.0010310459379504363,1,1537.5528392109602,0.75,0.8104889382730945,0.8465971757909465,0.4800699439396212,0.4541245622019883,12,16
7,-10.0,526912.416780396,527138.5385971166,0.155702018208132,0.15567556983666583,-0.014419775691715446,1,1138.4646979712534,0.8333333333333334,0.8513642524877902,0.8517714633255836,0.4462402640198591,0.44606125504765737,14,14
8,-9.0,478281.2778755406,524934.9868798213,0.20757787549981085,0.14023359896692864,-0.004180213655331792,1,922.7258618207655,0.9166666666666666,0.8376092543630355,0.8420703322160741,0.49424569582039696,0.46831383825611,8,12
9,-8.0,450485.88794917264,528791.2023849013,0.286152606387101,0.20080474177217514,0.0073460820891386065,1,1112.956856574467,0.875,0.8476456931496962,0.8384860414868692,0.4739545154220936,0.4719658128602388,12,18
10,-7.0,450242.750727198,532096.5299610854,0.3568825888564211,0.22985794417823266,0.006250723463773044,1,1840.7349977410652,0.5833333333333334,0.833584350263333,0.8039468099222912,0.49150004555530696,0.5031771511535938,12,18
11,-6.0,478999.0915782729,534850.9696075853,0.44169248368272607,0.354121895121465,0.005176578856286423,1,1386.3708862721742,0.6666666666666666,0.799014793937928,0.7979106466695952,0.5316651952328736,0.5289923892811133,14,18
12,-5.0,480116.6082122332,534300.0816783905,0.45008449709210696,0.39503911713631484,-0.0010299839777779976,1,1454.6176968206528,0.6666666666666666,0.8101904103040076,0.8071650057111251,0.5131503374238732,0.5138296786631961,18,20
13,-4.0,450639.31221103005,533749.1937489079,0.5394214374581181,0.4360563156675251,-0.0010310459391136917,1,908.9187111707197,0.9166666666666666,0.8289402484715072,0.8168344888252843,0.5049144740151645,0.497122057628758,18,22
14,-3.0,434572.9730989828,530443.8661730865,0.6029822404657237,0.47120413795937477,-0.006192660550184096,1,1189.168154828251,0.8333333333333334,0.8146012856425802,0.8117566305595714,0.5262043144383836,0.5117252839343095,22,26
15,-2.0,435349.11657729,528791.2023848258,0.6146994781362719,0.5007096149069593,-0.00311562427931137,1,21220.79556210772,0.6666666666666666,0.82237819391582,0.8110389017268617,0.5294819281450989,0.5251893239870059,22,28
16,-1.0,527293.6862399805,527138.5385970448,0.5272258151611802,0.5271738978624264,-0.003125361731298828,2,15231.809808547066,0.0,0.8020623039630146,0.8017028834570149,0.5393751180138334,0.5396218376809555,30,30
17,0.0,526273.9937299105,526036.7627384128,0.5543759043597468,0.5543525206440881,-0.0020901068276363666,2,428.19504438456005,0.0,0.7824462582818941,0.7820477262130876,0.5660672946832138,0.5660723076680356,30,30
