z_index,z_relative_mm,k_perp_global_std_m_inv,branch_selection_fraction
0,-17.0,691.6636291310462,1.0
1,-16.0,779.0731810034798,0.9583333333333334
2,-15.0,818.3230609436399,0.9583333333333334
3,-14.0,1621.1202741238576,0.6666666666666666
4,-13.0,2145.4002529376085,0.5833333333333334
5,-12.0,1697.3299233624477,0.5833333333333334
6,-11.0,1537.5528392109602,0.75
7,-10.0,1138.4646979712534,0.8333333333333334
8,-9.0,922.7258618207655,0.9166666666666666
9,-8.0,1112.956856574467,0.875
10,-7.0,1840.7349977410652,0.5833333333333334
11,-6.0,1386.3708862721742,0.6666666666666666
12,-5.0,1454.6176968206528,0.6666666666666666
13,-4.0,908.9187111707197,0.9166666666666666
14,-3.0,1189.168154828251,0.8333333333333334
15,-2.0,21220.79556210772,0.6666666666666666
16,-1.0,15231.809808547066,0.0
17,0.0,428.19504438456005,0.0
