z_index,z_relative_mm,selected_k_perp_m_inv,measured_vs_local_ideal_corr,measured_vs_local_ideal_rmse,modal_fit_vs_measured_corr,modal_fit_vs_measured_rmse,predicted_corrected_vs_local_ideal_corr,predicted_corrected_vs_local_ideal_rmse
0,-17.0,527689.4265262398,0.1897564594769822,0.18401955336606132,0.7841435488561459,0.12318945190750871,0.9668713367898836,0.0535175095681045
1,-16.0,528240.3144557042,0.23290672853000505,0.1745196587935392,0.8183878331442667,0.10892647854587872,0.9800751797665604,0.04085134994781392
2,-15.0,529892.9782435815,0.27784442868693254,0.16616031451363353,0.8276945409818868,0.10634264532219764,0.9832222602056657,0.047281983064634596
3,-14.0,531545.6420317673,0.329702863832325,0.16586432156658873,0.836902788912652,0.11256505670714917,0.9753059279292724,0.060006720686872475
4,-13.0,534300.0816782588,0.3738057204701499,0.15882994808473527,0.8325887105093828,0.10671408634448873,0.9545340335985283,0.054677961542339934
5,-12.0,534300.0816784899,0.4617345278769534,0.15288671325320743,0.827602918261731,0.11137045811353226,0.9604859197490764,0.05372528715598625
6,-11.0,534850.9696073511,0.5595814780199556,0.1454710244831033,0.846311167473213,0.1107549342029312,0.9782942992596363,0.03827054406551365
7,-10.0,527138.5385971166,0.6992492253736489,0.12322444860951882,0.8520898519125158,0.10447509140741569,0.9708016895543693,0.05047537503179078
8,-9.0,524934.9868798213,0.6771666358789,0.1250511557968161,0.8311123833328701,0.108127794258892,0.942882053810171,0.06812789562178403
9,-8.0,528791.2023849013,0.5970444568041762,0.13642632896780219,0.8396744461800146,0.112426160516153,0.9604594088487343,0.06370005861369406
10,-7.0,532096.5299610854,0.5469584955098005,0.15052446285686638,0.8089253272935311,0.12457941961778247,0.9610817511995866,0.05928398946062704
11,-6.0,534850.9696075853,0.3645725768248101,0.1847724258064209,0.7951070993908713,0.146416149776545,0.970255616908722,0.053380716002165506
12,-5.0,534300.0816783905,0.30089714163062115,0.19850332212805208,0.8004902775605881,0.15047352048193038,0.9667502190678301,0.05161777735175171
13,-4.0,533749.1937489079,0.26828207297644263,0.2099398926032485,0.8153355253193446,0.16195379988171968,0.9732660767240655,0.044284977705539685
14,-3.0,530443.8661730865,0.2270275207086047,0.22585935202805976,0.7996238959091997,0.17729412604741995,0.9777589646406836,0.04526770864305926
15,-2.0,528791.2023848258,0.16755848565583295,0.23232455421056825,0.7918769605179553,0.17672754987646533,0.9747872182729387,0.050808254322891475
16,-1.0,527138.5385970448,0.1215546144859594,0.24588853533083543,0.7578613641773675,0.1960795668583552,0.957137206925626,0.06153450021052816
17,0.0,526036.7627384128,0.10599825819832949,0.25665278606162095,0.7530757094261072,0.20896381147638568,0.9771816599902298,0.048825709610856464
