z_index,z_relative_mm,retrieval_axis_y_px,retrieval_axis_x_px,camera_optical_axis_calibrated,camera_axis_source,k_perp_opt_m_inv,aberration_order_max,fit_cost,fit_corr,fit_nrmse
0,-17.0,384.5,384.0,False,median observed beam-core diagnostic axis,435215.43727077486,26,0.20908837340577036,0.8240598878653635,0.454881631456791
1,-16.0,384.5,384.0,False,median observed beam-core diagnostic axis,451059.8894201653,24,0.21425680635469038,0.8463229290708078,0.4391510546093034
2,-15.0,384.5,384.0,False,median observed beam-core diagnostic axis,434743.539433753,20,0.21378415707461632,0.8302890655670583,0.45582650415396553
3,-14.0,384.5,384.0,False,median observed beam-core diagnostic axis,451123.6986405164,18,0.22460380238100633,0.8306589342350724,0.46439980653471347
4,-13.000000000000002,384.5,384.0,False,median observed beam-core diagnostic axis,479843.0069095373,18,0.1994692804918963,0.8543592466007248,0.4404467405755631
5,-12.0,384.5,384.0,False,median observed beam-core diagnostic axis,478816.2253872265,18,0.21517418281242398,0.8374444931577513,0.45067364269281346
6,-11.0,384.5,384.0,False,median observed beam-core diagnostic axis,478030.65277644934,12,0.22861494864287696,0.8104889382730945,0.4800699439396212
7,-10.0,384.5,384.0,False,median observed beam-core diagnostic axis,526912.416780396,14,0.1946994246584323,0.8513642524877902,0.4462402640198591
8,-9.000000000000002,384.5,384.0,False,median observed beam-core diagnostic axis,478281.2778755406,8,0.21051467732040077,0.8376092543630355,0.49424569582039696
9,-8.0,384.5,384.0,False,median observed beam-core diagnostic axis,450485.88794917264,12,0.20427533443824916,0.8476456931496962,0.4739545154220936
10,-7.0,384.5,384.0,False,median observed beam-core diagnostic axis,450242.750727198,12,0.21669669672776645,0.833584350263333,0.49150004555530696
11,-6.0,384.5,384.0,False,median observed beam-core diagnostic axis,478999.0915782729,14,0.2531990583304682,0.799014793937928,0.5316651952328736
12,-5.0,384.5,384.0,False,median observed beam-core diagnostic axis,480116.6082122332,18,0.2355990820029825,0.8101904103040076,0.5131503374238732
13,-4.0,384.5,384.0,False,median observed beam-core diagnostic axis,450639.31221103005,18,0.22273509219230286,0.8289402484715072,0.5049144740151645
14,-3.0,384.5,384.0,False,median observed beam-core diagnostic axis,434572.9730989828,22,0.23021913378916298,0.8146012856425802,0.5262043144383836
15,-2.0,384.5,384.0,False,median observed beam-core diagnostic axis,435349.11657729,22,0.23317354144097135,0.82237819391582,0.5294819281450989
16,-1.0,384.5,384.0,False,median observed beam-core diagnostic axis,527293.6862399805,30,0.25049136860509164,0.8020623039630146,0.5393751180138334
17,0.0,384.5,384.0,False,median observed beam-core diagnostic axis,526273.9937299105,30,0.2594746673463235,0.7824462582818941,0.5660672946832138
