z_index,z_relative_mm,retrieval_axis_y_px,retrieval_axis_x_px,camera_optical_axis_calibrated,camera_axis_source,k_perp_opt_m_inv,aberration_order_max,fit_cost,fit_corr,fit_nrmse
0,-17.0,384.5,384.0,False,median observed beam-core diagnostic axis,527689.4265262398,30,0.23706611769875113,0.8004964790382036,0.4969379934091485
1,-16.0,384.5,384.0,False,median observed beam-core diagnostic axis,528240.3144557042,30,0.21906837175525193,0.8349083105165905,0.44975587963676184
2,-15.0,384.5,384.0,False,median observed beam-core diagnostic axis,529892.9782435815,26,0.21101028664805582,0.8374312312930551,0.4454084416238667
3,-14.0,384.5,384.0,False,median observed beam-core diagnostic axis,531545.6420317673,24,0.2088776981961233,0.8421701288069874,0.4469959708130948
4,-13.000000000000002,384.5,384.0,False,median observed beam-core diagnostic axis,534300.0816782588,20,0.22003314802678586,0.8333312582361528,0.46131451020782976
5,-12.0,384.5,384.0,False,median observed beam-core diagnostic axis,534300.0816784899,18,0.22315560360724776,0.8323747366374629,0.48007069321247603
6,-11.0,384.5,384.0,False,median observed beam-core diagnostic axis,534850.9696073511,16,0.2035764828520122,0.8465971757909465,0.4541245622019883
7,-10.0,384.5,384.0,False,median observed beam-core diagnostic axis,527138.5385971166,14,0.19434707433502185,0.8517714633255836,0.44606125504765737
8,-9.000000000000002,384.5,384.0,False,median observed beam-core diagnostic axis,524934.9868798213,12,0.21615325140134273,0.8420703322160741,0.46831383825611
9,-8.0,384.5,384.0,False,median observed beam-core diagnostic axis,528791.2023849013,18,0.20755010875547383,0.8384860414868692,0.4719658128602388
10,-7.0,384.5,384.0,False,median observed beam-core diagnostic axis,532096.5299610854,18,0.2356205081836063,0.8039468099222912,0.5031771511535938
11,-6.0,384.5,384.0,False,median observed beam-core diagnostic axis,534850.9696075853,18,0.24568468239461097,0.7979106466695952,0.5289923892811133
12,-5.0,384.5,384.0,False,median observed beam-core diagnostic axis,534300.0816783905,20,0.2411321132919459,0.8071650057111251,0.5138296786631961
13,-4.0,384.5,384.0,False,median observed beam-core diagnostic axis,533749.1937489079,22,0.22845610546822623,0.8168344888252843,0.497122057628758
14,-3.0,384.5,384.0,False,median observed beam-core diagnostic axis,530443.8661730865,26,0.23156301178849575,0.8117566305595714,0.5117252839343095
15,-2.0,384.5,384.0,False,median observed beam-core diagnostic axis,528791.2023848258,28,0.2413317728526911,0.8110389017268617,0.5251893239870059
16,-1.0,384.5,384.0,False,median observed beam-core diagnostic axis,527138.5385970448,30,0.25049427762803655,0.8017028834570149,0.5396218376809555
17,0.0,384.5,384.0,False,median observed beam-core diagnostic axis,526036.7627384128,30,0.2596071194191348,0.7820477262130876,0.5660723076680356
