z_relative_mm,z_absolute_model_mm,measured_vs_ideal_corr,measured_vs_error_model_corr,measured_vs_ideal_rmse,measured_vs_error_model_rmse
-17.0,1.75,0.8290926066267893,0.43922464605453654,0.07415745044812093,0.12390494921007507
-16.0,2.75,0.8262550668220654,0.18701242061770157,0.0776665403964834,0.15569379148347767
-15.0,3.75,0.8247132591967303,0.2027957632316843,0.07929446727808431,0.1493511285622248
-14.0,4.75,0.8255628812972027,0.28116184711732906,0.08043766437517663,0.13852747859888728
-13.0,5.75,0.7832675425651547,0.25908186824070895,0.09058490850639757,0.1459137139641418
-12.0,6.75,0.8080523022227246,0.293831973217717,0.08618625297034428,0.14689947473930898
-11.0,7.75,0.8105209344733622,0.4329312308003572,0.08650008127708066,0.1362555073178366
-10.0,8.75,0.8060600876596897,0.563789705241636,0.08717743544511368,0.12095962924990532
-9.0,9.75,0.791202156203016,0.6609369141987481,0.08941900516017655,0.10313750781966467
-8.0,10.75,0.8245834042566557,0.5871302802695831,0.08296183277584357,0.11912991781295544
-7.0,11.75,0.8229099451279551,0.6013156381554092,0.0843276373494089,0.12825836570716295
-6.0,12.75,0.8399414660424999,0.3634751479698827,0.08425155967842796,0.14926508745552777
-5.0,13.75,0.8330259315760725,0.2340416864957111,0.08966351593619368,0.19629898400213752
-4.0,14.75,0.8215532643028524,0.1700431883701966,0.09814045479402068,0.20337428083526154
-3.0,15.75,0.8211946047342739,0.22849035318886074,0.10730346687902853,0.19087010743268404
-2.0,16.75,0.8070710299039668,0.2733620320945522,0.11157171164279565,0.20479643602159747
-1.0,17.75,0.8015257965020824,0.11874606797324605,0.12122161413717282,0.22050551977540453
0.0,18.75,0.8091826221269325,0.19442871149686589,0.1285894949847506,0.20291411190782513
