anchor_id,category,paper_short_name,full_citation,doi_or_url,source_status,material,wavelength_nm,pulse_duration_fs,rep_rate_Hz,pulse_energy_uJ,average_power_W,scan_speed_mm_s,objective_NA,beam_type,writing_mode,sample_geometry,observed_feature,observed_feature_width_um,observed_feature_depth_um,observed_feature_length_um,observed_index_change,observed_etch_response,reported_damage_or_cracking,model_used,equations_relevant,parameters_reported,parameters_borrowable,parameters_prior_only,parameters_must_calibrate,digital_twin_layer,model_status_allowed,claim_boundary,notes
A001,bessel_beam_material_modification,Bhuyan_et_al_fused_silica_bessel,Bhuyan et al. — single-shot Bessel beam modification in fused silica (approx. year 2010–2014),not_reported,needs_literature_lookup,fused_silica,1030,100–500,not_reported,not_reported,not_reported,not_reported,not_reported,Bessel,single_shot_internal,bulk,nanograting or smooth modification track,~1,not_reported,>100,not_reported,not_reported,not_reported,fluence threshold; Gaussian envelope modulation,fluence_scaling; local_threshold_ratio,F_th approx. 2–5 J/cm2 (single shot); Bessel zone length; core diameter,Bessel zone length scaling with NA; core diameter formula,F_th prior (fused silica ONLY — do NOT transfer to ZnSe),All material response parameters require ZnSe calibration,engine1; engine2,fluence_threshold_proxy,Fused silica anchor — do not transfer F_th or modification morphology to Cr:ZnSe,Placeholder — verify exact paper; multiple Bhuyan et al. papers exist on this topic
A002,bessel_beam_material_modification,Courvoisier_bessel_review,Courvoisier et al. — review of Bessel beam material processing (approx. year 2013–2016),not_reported,needs_literature_lookup,various,800–1030,100–500,not_reported,not_reported,not_reported,not_reported,0.3–0.6,Bessel; vortex Bessel,multi-shot and single-shot,bulk and surface,ablation craters; waveguide tracks; modification volume,1–20,not_reported,50–500,not_reported,not_reported,not_reported,analytical fluence model; BPM; threshold maps,fluence_scaling; angular_spectrum_propagation; local_threshold_ratio,Cone angle to core diameter mapping; Bessel zone equations; threshold ratios,Bessel zone / core diameter analytical formulas (derived — not empirical),Threshold values (material specific),All material-specific thresholds; all morphology prediction,engine1; engine2,fluence_threshold_proxy,Review paper — no single material threshold can be extracted as universal,Review — check for specific parameter tables; cone angle derivation is physics-grounded
A003,bessel_beam_material_modification,Stoian_bessel_processing,Stoian et al. — non-diffracting beam processing of transparent materials (approx. year 2018–2022),not_reported,needs_literature_lookup,fused_silica; borosilicate,1030,100–300,1000–1000000,0.1–5,not_reported,1–100,0.3–0.6,Bessel-Gauss,scan writing,bulk,smooth modification track; waveguide channel,1–5,not_reported,not_reported,1e-3 – 3e-3,not_reported,not_reported,ASM propagation; fluence threshold; mode simulation,angular_spectrum_propagation; fluence_scaling; local_threshold_ratio,Core size vs NA; scan speed for continuous track; Δn range,Bessel core size formula; propagation model validation,Track geometry (oxide glass only); Δn (oxide glass only),Full material calibration for Cr:ZnSe,engine1; engine2; engine3,uncalibrated_material_response_proxy,Oxide glass results — not transferable to ZnSe morphology or threshold,Placeholder — seek Stoian group publications on Bessel writing
A004,fused_silica_bessel_processing,Mathis_bessel_fused_silica,Mathis et al. — Bessel beam writing and etch enhancement in fused silica (approx. year 2012–2015),not_reported,needs_literature_lookup,fused_silica,1030,100–500,not_reported,not_reported,not_reported,not_reported,0.3–0.5,Bessel,single-shot; scan,bulk,nanograting; smooth track; etch-enhanced channel,0.5–3,not_reported,50–300,not_reported,10–100x etch enhancement vs bulk,not_reported,fluence threshold; etch model,fluence_scaling; local_threshold_ratio,Etch enhancement vs modification level; Bessel zone length; scan continuity threshold,Etch concept (HF selectivity exists in silica) — concept only,Etch enhancement ratio (silica only — do NOT transfer to ZnSe),Etch response of ZnSe MUST be measured independently,engine2; engine3,fluence_threshold_proxy,HF etch selectivity in fused silica is NOT valid for ZnSe — do not transfer,Etch enhancement is well-characterised in silica; ZnSe etch behaviour unknown
A005,fused_silica_bessel_processing,Bhuyan_single_shot_silica,Bhuyan et al. — single-shot Bessel crack-free cleaving in fused silica,not_reported,needs_literature_lookup,fused_silica,1030,not_reported,not_reported,not_reported,not_reported,not_reported,0.3–0.5,Bessel,single_shot,bulk,nanograting; crack-free cleave,~1,not_reported,not_reported,not_reported,not_reported,minimal (crack-free regime),threshold fluence model; energy balance,fluence_scaling; local_threshold_ratio,Single-shot modification fluence; Bessel zone per energy,not_reported,F_th estimate (silica only),ZnSe single-shot calibration required,engine2,fluence_threshold_proxy,Single-shot anchors from fused silica are reference only — do not calibrate ZnSe,
A006,ultrafast_waveguide_inscription,Davis_1996_seminal,Davis et al. — Writing waveguides in glass with a femtosecond laser (Science 1996 approx.),not_reported,needs_literature_lookup,borosilicate_glass,800,120,not_reported,not_reported,not_reported,0.005–0.05,not_reported,Gaussian,scan_writing,bulk,smooth waveguide channel,3–10,not_reported,not_reported,5e-4 – 5e-3,not_reported,not_reported,threshold model; mode simulation,fluence_scaling; waveguide_mode_solver_anchor,Pulse energy range for waveguide writing; Δn ~10⁻³; mode size ~5 µm,Existence proof of waveguide writing; methodology for loss measurement,All parameter values (borosilicate glass — not ZnSe),Full ZnSe calibration required for all parameters,engine3,uncalibrated_material_response_proxy,Seminal reference for waveguide writing concept — all parameters glass-specific,Davis K M et al. Opt. Lett. 1996 — verify exact reference
A007,ultrafast_waveguide_inscription,Thomson_waveguide_review,Thomson et al. — ultrafast waveguide writing review (approx. 2011–2016),not_reported,needs_literature_lookup,various_glasses,800–1030,100–500,1000–5000000,0.1–10,not_reported,1–100,0.25–0.65,Gaussian,scan_writing,bulk,smooth; stress-induced; depressed-cladding waveguides,3–15,not_reported,not_reported,1e-4 – 1e-2,not_reported,not_reported,threshold; mode; heat accumulation,fluence_scaling; heat_equation_proxy; waveguide_mode_solver_anchor,Writing parameter space for different glass types; heat accumulation onset rep rate,Conceptual writing regime map (heat accumulation vs athermal); methodology,All parameter values (glass only),ZnSe parameters must be measured,engine2; engine3,uncalibrated_material_response_proxy,Glass-only — all values are order-of-magnitude priors at best for ZnSe,Review covering multiple glass types; confirms heat accumulation onset typically >100 kHz in glasses
A008,ultrafast_waveguide_inscription,Osellame_photonic_devices,Osellame et al. — ultrafast laser writing of photonic devices (approx. review 2012+),not_reported,needs_literature_lookup,various_glasses,800–1030,100–1000,not_reported,not_reported,not_reported,not_reported,0.25–0.65,Gaussian,scan_writing,bulk,waveguides; splitters; couplers,3–20,not_reported,not_reported,1e-4 – 5e-3,not_reported,not_reported,mode solver; threshold model,waveguide_mode_solver_anchor; fluence_scaling,Δn range for glass photonic devices; mode size; loss levels,Device architecture concepts; mode solving methodology,All quantitative parameters (glass only),ZnSe device parameters,engine3,uncalibrated_material_response_proxy,Photonic device concepts applicable; all parameters glass-specific,
A009,crznse_or_zns_family_waveguide_inscription,Lancaster_crznse_waveguide,Lancaster et al. — femtosecond laser written waveguides in Cr:ZnSe (approx. year 2012–2018),not_reported,needs_literature_lookup,CrZnSe,1030–1940,100–1000,1000–1000000,not_reported,not_reported,not_reported,0.4–0.65,Gaussian,scan_writing,bulk,smooth or depressed-cladding waveguide,5–30,not_reported,not_reported,5e-4 – 3e-3,not_reported,not_reported,threshold model; mode simulation,fluence_scaling; waveguide_mode_solver_anchor,Scan speed range for writing; Δn ~10⁻³; propagation loss ~0.5–5 dB/cm; mode size,Δn order of magnitude prior; scan speed prior; loss level prior,All specific parameter values (different laser / sample),Full calibration for this laser + sample,engine3,uncalibrated_material_response_proxy,Closest-match literature for this material — still requires local calibration,Best available prior for Cr:ZnSe — placeholder verify exact Lancaster / Bernier / Maes group papers
A010,crznse_or_zns_family_waveguide_inscription,Bernier_znse_midir_waveguide,Bernier et al. — mid-IR waveguide inscription in ZnSe-family (approx. 2012–2020),not_reported,needs_literature_lookup,ZnSe; CrZnSe; ZnS,1030; 1560; 1940,100–1000,1000–1000000,not_reported,not_reported,1–100,0.3–0.65,Gaussian,scan_writing,bulk,depressed-cladding or damage-track waveguide,10–50,not_reported,not_reported,1e-4 – 1e-2,not_reported,some cracking at high energy,threshold; mode,fluence_scaling; waveguide_mode_solver_anchor,Scan speed; pulse energy range; writing mode (type I vs II vs void); loss levels,Writing mode concept (type I / II / void) applicable; loss level order of magnitude,All specific thresholds and geometry,Full calibration,engine2; engine3,uncalibrated_material_response_proxy,ZnSe-family anchor — best available prior. Verify via Bernier group papers (Laval University),
A011,heat_accumulation_scan_speed,Eaton_heat_accumulation,Eaton et al. — heat accumulation effects in femtosecond laser writing of borosilicate glass (approx. 2005–2008),not_reported,needs_literature_lookup,borosilicate_glass,1040,350,5000–5000000,not_reported,not_reported,1–100,0.55,Gaussian,scan_writing,bulk,smooth waveguide; heat-modified zone,5–30,not_reported,not_reported,1e-3 – 5e-3,not_reported,not_reported,heat diffusion model; threshold model,thermal_diffusion_length; heat_equation_proxy; accumulated_dose,Heat accumulation onset at ~500 kHz; thermal diffusivity of borosilicate ~5×10⁻⁷ m²/s,Heat accumulation concept and onset criterion (D_th dependent),Specific threshold values and Δn (glass only),ZnSe thermal parameters and heat accumulation onset must be measured,engine2,uncalibrated_material_response_proxy,Glass thermal model — ZnSe has ~20× higher thermal diffusivity so onset is at much higher rep rate,Key reference for heat accumulation framework; Eaton S M et al. Opt. Express 2005 or similar
A012,heat_accumulation_scan_speed,Thomson_thermal_regimes,Thomson et al. — writing regimes: athermal vs thermal accumulation (approx. 2008–2012),not_reported,needs_literature_lookup,borosilicate_glass,1040,350,not_reported,not_reported,not_reported,not_reported,0.55,Gaussian,scan_writing,bulk,smooth waveguide; heat-diffusion dominated zone,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,heat diffusion model,thermal_diffusion_length; heat_equation_proxy,Athermal vs thermal boundary as function of rep rate and scan speed,Qualitative regime map concept,All quantitative boundaries (glass only),ZnSe thermal regime boundaries,engine2,uncalibrated_material_response_proxy,Glass results — ZnSe D_th ~10⁻⁵ m²/s means thermal onset rep rate is much higher than glass,
A013,incubation_multi_pulse_threshold,Jee_incubation_1988,Jee et al. — laser damage of thin metal films — incubation law (1988),not_reported,needs_literature_lookup,thin_metal_films,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,static_multi_pulse,thin_film_surface,surface_ablation,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,incubation threshold model,incubation_threshold_law,Incubation model: F_th(N) = F_th(1) * N^(S-1); S < 1,Incubation law functional form (Jee-Becker),S value (metal only — very different from dielectrics),S and F_th(1) for Cr:ZnSe at our conditions,engine2,fluence_threshold_proxy,Functional form of incubation law is universal — parameter values are NOT; measured in metals originally,Jee Y Y et al. JVST 1988 (approx.) — verify exact citation
A014,incubation_multi_pulse_threshold,Lenzner_incubation_dielectrics,Lenzner et al. — incubation effects in dielectrics and glasses under femtosecond pulses (approx. 1999–2002),not_reported,needs_literature_lookup,fused_silica; borosilicate,800,100–200,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,static_multi_pulse,bulk_surface,surface_damage,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,incubation threshold model; photoionisation,incubation_threshold_law; multiphoton_absorption_proxy,S exponent 0.8–0.9 for oxide glasses; F_th(1) for fused silica ~2 J/cm2 at 800 nm,S functional form; concept of incubation in dielectrics,S and F_th(1) values (oxide glass only),Cr:ZnSe S and F_th(1) must be measured,engine2,fluence_threshold_proxy,Oxide glass incubation — not transferable to Cr:ZnSe,
