engine,layer,parameter,symbol,config_path,default_value,units,notes
1,optical,Wavelength,lambda,laser.wavelength_m,1030e-9,m,Yb:KGW / PHAROS fundamental
1,optical,Beam waist at SLM,w0,laser.beam_radius_on_slm_m,4.5e-3,m,1/e² radius
1,optical,Topological charge,ell,target.ell,3,integer,0 = scalar Bessel
1,optical,Target core diameter,2r0,target.target_core_diameter_m,3e-6,m,Design first-zero diameter
1,optical,Target Bessel length,L_B,target.target_bessel_length_m,150e-6,m,Design non-diffracting zone
1,optical,Blaze period (holographic),Lambda,slm.blaze_period_px,20,pixels,Sets first-order separation
1,optical,Objective NA,NA,objective.NA,0.45,—,Determines pupil radius and demagnification
1,optical,SLM conjugate mode (physical),—,physical_axicon.slm2_conjugate_mode,full,string,Controls vortex cancellation (F-A3p finding)
1,optical,Refractive index (sample),n,material.refractive_index,2.4,—,Cr:ZnSe literature value
1,optical,Preset / grid,—,—,balanced,string,Determines N and device_downsample
2,exposure,Pulse energy,E_p,laser.pulse_energy_J,1e-6,J,Must be measured at sample
2,exposure,Repetition rate,f_rep,laser.rep_rate_Hz,50000,Hz,Nominal 50 kHz
2,exposure,Scan speed,v,writing.scan_speed_m_s,0.1,m/s,Linear scan along writing axis
2,exposure,Shots per site,N,writing.shots_per_site,100,integer,Number of pulses at each sample point
2,exposure,Literature threshold (1-shot),F_th1,material.threshold_1shot_J_cm2,0.15,J/cm²,Cr:ZnSe literature; not calibrated for this system
2,exposure,Incubation exponent,S,material.incubation_exponent,0.85,—,Jee-Becker; literature value
3,material,Threshold crossing map,—,engine2.threshold_result,—,—,Required input from Engine 2
3,material,Calibration CSV (optional),—,calibration/ directory,None,—,Enables calibrated_material_prediction; must not be synthetic
3,material,PSF FWHM for microscopy proxy,—,material.psf_fwhm_m,0.38e-6,m,λ_mic / (2 NA_mic); default 532 nm / 0.7 NA
