ell,target_core_diameter_um,target_bessel_length_um,gamma_slm_deg,magnification_to_sample,kr_sample_m_inv,ring_radius_um,core_radius_um,feature_diameter_um,ring_width_um,peak_in_plane,peak_onaxis,onaxis_to_peak_ratio,pulse_energy_at_sample_uJ,first_order_selected_fraction,propagation_method,output_dx_at_peak_um,output_dx_min_um,output_dx_max_um,sas_retained_power_fraction_min,sas_retained_power_fraction_at_peak,sas_z_limit_min_um,sas_z_over_limit_max,sas_output_magnification_at_peak,sas_bandlimit_retained_fraction_min,bessel_zone_um,zone_start_um,zone_end_um,zone_capped,bessel_region_um,bessel_region_start_um,bessel_region_end_um,bessel_region_capped,feature_power_zone_um,feature_power_zone_start_um,feature_power_zone_end_um,feature_power_zone_capped,radius_stability_zone_um,radius_stability_zone_start_um,radius_stability_zone_end_um,radius_stability_zone_capped,bessel_region_peak_level,bessel_region_power_level,bessel_region_radius_tolerance,ring_or_core_power_fraction_min_in_region,ring_or_core_radius_drift_fraction_max_in_region,ring_or_core_radius_drift_fraction_at_peak,peak_fluence_J_cm2,core_or_ring_peak_fluence_J_cm2,side_lobe_peak_fluence_J_cm2,side_to_core_peak_ratio,plane_fluence_integral_J,effective_pulses,incubated_threshold_J_cm2,line_proxy_threshold_length_um,line_proxy_threshold_width_um,line_proxy_threshold_area_um2,study,case_id,path,material,write_depth_um,NA,phase_bits,fill_factor,blaze_period_px,beam_radius_on_slm_mm,hardware_reachable,qa_status,device_grid_label,device_downsample,pupil_N,pupil_dx_um,pupil_window_mm,phase_frequency_lpmm,pupil_nyquist_lpmm,phase_sampling_label,focal_dx_um,focal_kt_nyquist_over_kr,focal_samples_per_radial_period,focal_sampling_label,axial_dz_um,axial_scan_end_um,axial_scan_target_factor,axial_sampling_label,k_medium_m_inv,propagation_power_drift_fraction,sas_retained_power_fraction_mean,knob,knob_value,normalised_bessel_region_sensitivity,normalised_zone_sensitivity,mapping_mode,objective_map_source,objective_map_demag,mapping_claim_scope,hardware_target_achieved,phase1r_metadata_reexport,phase1r_quantitative_status,phase1r_quantitative_valid,phase1r_case_uid,phase1r_evidence_path
0,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,0.0,0.7359631345864733,1.4719262691729467,1.4719262691729467,46.68170492757037,46.68170492757034,0.9999999999999992,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,119.07131602062118,24.683499461574268,143.75481548219545,False,114.75,27.0,141.75,False,114.75,27.0,141.75,False,263.25000000000006,6.75,270.0,True,0.5,0.5,0.15,0.5221848127351262,0.015779268567171,0.0,29.939502115953964,29.939502115953964,4.820502738747865,0.16100811296321282,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,ell_0,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,8.30956127982979,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,6.91425707671578e-05,1.0,ell,0.0,-0.1703385611152603,-0.1703385611152603,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-5d78e1eefa48,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
1,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,1.130921052631579,0.4940016475652829,2.261842105263158,1.2883037308985839,16.40176987824919,0.9997601683961195,0.06095440771437278,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,118.55496635405692,25.441858941792226,143.99682529584913,False,114.75,27.0,141.75,False,114.75,27.0,141.75,False,256.5,13.5,270.0,True,0.5,0.5,0.15,0.5138122662911898,0.0,0.0,10.522178841765424,10.522178841765424,3.81193102020001,0.3622758249526616,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,ell_1,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,8.30956127982979,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.0007084480465649821,1.0,ell,1.0,-0.1703385611152603,-0.1703385611152603,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-2ae50939c1c8,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,2.3874999999999997,1.7207290062350473,4.7749999999999995,1.5257646650538292,8.45326490049339,0.9997601683961199,0.11826911615389778,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,127.83550224635343,17.492473997238562,145.327976243592,False,114.75,27.0,141.75,False,114.75,27.0,141.75,False,249.75000000000003,20.25,270.0,True,0.5,0.5,0.15,0.5261034620381961,0.10526315789473702,0.0,5.437854969391,5.437854969391,1.8083373809198533,0.33254608500939364,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,ell_3,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,8.30956127982979,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.005891398052292213,1.0,ell,3.0,-0.1703385611152603,-0.1703385611152603,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-47643bfe5cf5,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
5,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,3.644078947368421,2.8197937414966363,7.288157894736842,1.605684993445042,5.876247741670529,0.9997601683961199,0.1701358098479189,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,137.41178311647315,6.44781074463751,143.85959386111065,False,114.75,27.0,141.75,False,114.75,27.0,141.75,False,243.0,27.0,270.0,True,0.5,0.5,0.15,0.5226416178741231,0.1379310344827586,0.0,3.7946463369938437,3.7946463369938437,1.309673582973585,0.34513719241912844,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,ell_5,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,8.30956127982979,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.016116965171788077,1.0,ell,5.0,-0.1703385611152603,-0.1703385611152603,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-28540eec5b20,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
8,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,4.900657894736842,4.1258933696203135,9.801315789473684,1.5894720154191793,4.305702792827766,0.9997601683961199,0.23219442132918988,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,131.5937715723751,3.4591695058438736,135.05294107821896,False,67.49999999999999,33.75,101.25,False,94.5,27.0,121.5,False,67.49999999999999,33.75,101.25,False,0.5,0.5,0.15,0.6854521783693395,0.10256410256410255,0.0,2.7945790413111635,2.7945790413111635,0.5944862046620554,0.21272835581817492,2.6244000000000002e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,ell_8,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,8.30956127982979,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.04097539572310873,1.0,ell,8.0,-0.1703385611152603,-0.1703385611152603,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-63ae63dc7fa1,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,1.0,150.0,2.184613939277743,0.024213190551759377,4810000.0,0.8796052631578948,0.45468515693517525,1.7592105263157896,0.8636595171718425,83.50677437366186,0.99997334920313,0.0119747572182422,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,114.16889315300091,22.784531674830383,136.9534248278313,False,108.0,27.0,135.0,False,108.0,27.0,135.0,False,189.0,6.75,195.75,False,0.5,0.5,0.15,0.5177116522994816,0.0,0.0,6.781029585592027,6.781029585592027,3.0375560509095294,0.44794909276956524,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,target_core_diameter_um_1p0,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,fail,downsampled,4,512,32.0,16.384,24.786051518468096,15.625,fail,0.25122070312500006,2.5998564516957887,5.199712903391578,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,1.2497543691505302,1.0,target_core_diameter_um,1.0,-0.6581875993640696,-0.6581875993640696,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.024213190551759377,inverse_design_feasibility,false,true,invalid_unconverged,false,HDR-c5eddc0d3168,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,2.0,150.0,0.5464017397014767,0.012106595275879688,2405000.0,1.6335526315789475,1.1271809779816997,3.267105263157895,1.133694972513419,20.505197309506208,0.9998934010740351,0.048762925124865034,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,119.0309216805251,23.709617868440052,142.74053954896513,False,114.75,27.0,141.75,False,114.75,27.0,141.75,False,256.5,13.5,270.0,True,0.5,0.5,0.15,0.5121072836894801,0.0,0.0,5.892402331827321,5.892402331827321,2.500504006782597,0.4243607048480605,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,target_core_diameter_um_2p0,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,10.884012879617025,15.625,pass,0.25122070312500006,5.199712903391577,10.399425806783157,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.0037511021528949346,1.0,target_core_diameter_um,2.0,-0.6581875993640696,-0.6581875993640696,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.012106595275879688,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-33f84bd8f67b,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,3.0,150.0,0.2428511254567136,0.008071063517253126,1603333.3333333333,2.3874999999999997,1.7207290062350473,4.7749999999999995,1.5257646650538292,8.45326490049339,0.9997601683961199,0.11826911615389778,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,127.83550224635343,17.492473997238562,145.327976243592,False,114.75,27.0,141.75,False,114.75,27.0,141.75,False,249.75000000000003,20.25,270.0,True,0.5,0.5,0.15,0.5261034620381961,0.10526315789473702,0.0,5.437854969391,5.437854969391,1.8083373809198533,0.33254608500939364,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,target_core_diameter_um_3p0,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,8.30956127982979,15.625,pass,0.25122070312500006,7.799569355087367,15.599138710174733,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.005891398052292213,1.0,target_core_diameter_um,3.0,-0.6581875993640696,-0.6581875993640696,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.008071063517253126,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-47643bfe5cf5,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,4.0,150.0,0.1366043172808986,0.006053297637939844,1202500.0,3.1414473684210527,2.176522030989343,6.282894736842105,1.8316287925724577,4.1955060111868026,0.999573672471279,0.23824865696915662,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,140.84562957553368,5.05655402118091,145.9021835967146,False,108.0,33.75,141.75,False,114.75,27.0,141.75,False,134.99999999999997,33.75,168.75,False,0.5,0.5,0.15,0.5495068259476129,0.08000000000000011,0.0,4.803632228233265,4.803632228233265,1.168840125903949,0.24332423265755265,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,target_core_diameter_um_4p0,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,7.408503219904257,15.625,pass,0.25122070312500006,10.399425806783155,20.798851613566313,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.00949831055489473,1.0,target_core_diameter_um,4.0,-0.6581875993640696,-0.6581875993640696,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.006053297637939844,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-9120afdaf63f,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
3,6.0,150.0,0.06071312221783339,0.004035531758626563,801666.6666666666,2.3874999999999997,1.1018909488678952,4.7749999999999995,3.4872525578818334,2.0754453698942936,0.9990410186444919,0.4813622334445618,2.6244,1.0,bl_asm,0.25,0.25,0.25,1.0,1.0,,,,,101.86930664479993,0.24256799709119933,102.11187464189115,False,6.75,6.75,13.5,False,101.25,0.0,101.25,True,13.5,0.0,13.5,True,0.5,0.5,0.15,0.7506679195319323,0.0,0.0,5.323097680239441,5.323097680239441,2.1334410546663993,0.40078938671109143,2.6244e-06,300.0,0.8029538686943561,0.0,0.0,0.0,oat_sensitivity,target_core_diameter_um_6p0,ideal,Cr:ZnSe,300.0,0.45,8,0.93,20,2.0,True,marginal,downsampled,4,512,32.0,16.384,6.7648903199574475,15.625,pass,0.25122070312500006,15.599138710174733,31.198277420349466,pass,6.750000000000002,270.0,1.8,pass,14898903.935391827,0.020062627286895673,1.0,target_core_diameter_um,6.0,-0.6581875993640696,-0.6581875993640696,target_matched_inverse_design,compute_design_from_targets:w0_sample/beam_radius_on_slm,0.004035531758626563,inverse_design_feasibility,false,true,validated_under_phase1_power_gate,true,HDR-5703e2663b6c,outputs/validation/phase1_reconciliation/phase1r_convergence_manifest.json
