case_id,path,ell,target_core_diameter_um,target_bessel_length_um,gamma_slm_deg,magnification_to_sample,ring_radius_um,core_radius_um,feature_diameter_um,ring_width_um,propagation_method,output_dx_at_peak_um,sas_retained_power_fraction_min,sas_z_over_limit_max,pulse_energy_at_sample_uJ,peak_fluence_J_cm2,incubated_threshold_J_cm2,side_to_core_peak_ratio,bessel_zone_um,bessel_region_um,bessel_region_start_um,bessel_region_end_um,line_proxy_threshold_length_um,qa_status,phase_sampling_label,focal_sampling_label,axial_sampling_label,focal_kt_nyquist_over_kr,input_energy_uJ
ell0_L100_core3_E10,realistic,0,3.0,100.0,0.16190128893519443,0.005380709011502083,0.0,0.789690606205107,1.579381212410214,1.579381212410214,bl_asm,0.25122070312500006,1.0,,2.6244,36.03436292529017,0.8029538686943561,1.3377144520512,80.15410309001079,27.000000000000007,391.49999999999994,418.49999999999994,0.0,marginal,pass,pass,marginal,7.799569355087367,10.0
ell0_L150_core3_E10,realistic,0,3.0,150.0,0.2428511254567136,0.008071063517253126,0.0,0.7314798414278577,1.4629596828557154,1.4629596828557154,bl_asm,0.25122070312500006,1.0,,2.6244,31.075854861776286,0.8029538686943561,2.28949091247446,93.12500041321927,38.249999999999986,369.75,407.99999999999994,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell0_L200_core3_E10,realistic,0,3.0,200.0,0.32379999246461466,0.010761418023004166,0.0,0.8273811967551874,1.6547623935103748,1.6547623935103748,bl_asm,0.25122070312500006,1.0,,2.6244,6.435024811627715,0.8029538686943561,1.0421353430363287,205.92473270192204,47.99999999999998,360.0,407.99999999999994,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell0_L250_core3_E10,realistic,0,3.0,250.00000000000003,0.40474756682381585,0.01345177252875521,0.0,2.3136121775200666,4.627224355040133,4.627224355040133,bl_asm,0.25122070312500006,1.0,,2.6244,3.449112163073169,0.8029538686943561,0.28654013776487836,275.4590583472293,56.250000000000014,168.75,225.0,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell1_L100_core3_E10,realistic,1,3.0,100.0,0.16190128893519443,0.005380709011502083,1.1408971959025822,0.42118178705756526,2.2817943918051644,1.3475287337281718,bl_asm,0.25122070312500006,1.0,,2.6244,13.254675306465133,0.8029538686943561,1.003511156334976,73.15859749091675,0.0,404.99999999999994,404.99999999999994,0.0,marginal,pass,pass,marginal,7.799569355087367,10.0
ell1_L150_core3_E10,realistic,1,3.0,150.0,0.2428511254567136,0.008071063517253126,0.8881031475462945,0.22277418642767463,1.776206295092589,1.3426163292484619,bl_asm,0.25122070312500006,1.0,,2.6244,11.304177181331132,0.8029538686943561,1.0217718684505595,87.20045153802882,12.750000000000012,395.24999999999994,407.99999999999994,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell1_L200_core3_E10,realistic,1,3.0,200.0,0.32379999246461466,0.010761418023004166,1.8963139689872157,1.106683186611232,3.7926279379744314,12.03231937025254,bl_asm,0.25122070312500006,1.0,,2.6244,2.877448080513852,0.8029538686943561,1.0,63.04109038352381,14.249999999999995,456.0,470.25,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell1_L250_core3_E10,realistic,1,3.0,250.00000000000003,0.40474756682381585,0.01345177252875521,1.9021380582000962,1.5382488404854457,3.8042761164001924,9.970578418768552,bl_asm,0.25122070312500006,1.0,,2.6244,2.0935769984662036,0.8029538686943561,1.0,194.31394671504674,56.99999999999998,441.75,498.75,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell3_L100_core3_E10,realistic,3,3.0,100.0,0.16190128893519443,0.005380709011502083,2.408789555392894,1.7072044247596512,4.817579110785788,1.5471344760911603,bl_asm,0.25122070312500006,1.0,,2.6244,7.145381003215585,0.8029538686943561,0.8604359431967623,77.64031553943592,13.500000000000004,404.99999999999994,418.49999999999994,0.0,marginal,pass,pass,marginal,7.799569355087367,10.0
ell3_L150_core3_E10,realistic,3,3.0,150.0,0.2428511254567136,0.008071063517253126,2.156830601203611,1.491932433534409,4.313661202407222,1.361438345298669,bl_asm,0.25122070312500006,1.0,,2.6244,7.117555083687593,0.8029538686943561,0.867117564348707,78.34160190682017,25.500000000000025,382.49999999999994,407.99999999999994,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell3_L200_core3_E10,realistic,3,3.0,200.0,0.32379999246461466,0.010761418023004166,4.42344523993307,1.7521438710226855,8.84689047986614,11.323644336572125,bl_asm,0.25122070312500006,1.0,,2.6244,3.0164916291272004,0.8029538686943561,1.0,47.47248903140842,0.0,456.0,456.0,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell3_L250_core3_E10,realistic,3,3.0,250.00000000000003,0.40474756682381585,0.01345177252875521,4.674648716014047,0.0,9.349297432028093,13.627915052386014,bl_asm,0.25122070312500006,1.0,,2.6244,2.7315451988595694,0.8029538686943561,1.0,100.92490672247847,0.0,441.75,441.75,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell5_L100_core3_E10,realistic,5,3.0,100.0,0.16190128893519443,0.005380709011502083,3.676662028708988,2.847748235529819,7.353324057417976,1.6993239829211144,bl_asm,0.25122070312500006,1.0,,2.6244,5.330786415842711,0.8029538686943561,0.3515734721256729,77.30610681202491,27.000000000000007,391.49999999999994,418.49999999999994,0.0,marginal,pass,pass,marginal,7.799569355087367,10.0
ell5_L150_core3_E10,realistic,5,3.0,150.0,0.2428511254567136,0.008071063517253126,3.4253250054897553,2.5252566826465044,6.8506500109795105,1.5343959132327807,bl_asm,0.25122070312500006,1.0,,2.6244,5.8305611736651075,0.8029538686943561,0.34077299460511684,67.41614488657935,38.250000000000036,382.49999999999994,420.75,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell5_L200_core3_E10,realistic,5,3.0,200.0,0.32379999246461466,0.010761418023004166,6.954416132291983,5.86800255451308,13.908832264583966,6.913004175899201,bl_asm,0.25122070312500006,1.0,,2.6244,3.1243947485369743,0.8029538686943561,0.977739993750505,47.565661162036804,28.49999999999999,441.75,470.25,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
ell5_L250_core3_E10,realistic,5,3.0,250.00000000000003,0.40474756682381585,0.01345177252875521,6.973644161539279,4.264515637183502,13.947288323078558,6.992553442550174,bl_asm,0.25122070312500006,1.0,,2.6244,4.629858153702029,0.8029538686943561,0.6128463224154322,112.27520006398346,99.74999999999996,399.0,498.75,0.0,marginal,pass,pass,pass,7.799569355087367,10.0
