target_core_diameter_um,target_bessel_length_um,bessel_region_um,bessel_zone_um
3.0,150.0,103.125,116.40626048944806
3.0,200.0,150.00000000000006,159.61605590541612
3.0,300.0,168.74999999999997,191.4221109292419
3.0,500.0,124.9999999999999,163.46094749746874
4.0,150.0,112.49999999999999,120.93953312203779
4.0,200.0,150.00000000000006,158.98596980996908
4.0,300.0,206.24999999999994,235.05278439948933
4.0,500.0,218.75,236.03164611673296
5.0,150.0,112.49999999999999,130.05227304785095
5.0,200.0,150.00000000000006,165.48369878476143
5.0,300.0,225.00000000000003,245.76188049775337
5.0,500.0,281.25000000000006,328.2269906972902
6.0,150.0,103.12499999999999,140.58788421493193
6.0,200.0,150.00000000000006,177.15898456320338
6.0,300.0,224.99999999999994,247.22335514833895
6.0,500.0,312.50000000000006,372.17899007898825
