figure_id,png_path,pdf_path,case_ids,source,native_grid_n,native_dx_m,metrics_computed_on_native_arrays,render_method,normalisation_policy,crop_rule,display_interpolation,display_interpolation_used_for_metrics,paired_colour_crop_rule_id,render_downsampling
G0_xy_bundle,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\g0_xy_landmarks_and_sas_focus.png,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\g0_xy_landmarks_and_sas_focus.pdf,G0,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native fixed-grid landmarks plus SAS z60 physical resampling,independent plane peak for morphology; fixed 0..1 colour scale,native focus halfwidth 3 mm; SAS <=0.76 mm,bicubic native; lanczos SAS display only,False,,none
G0_xz_yz,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\g0_xz_yz_and_power.png,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\g0_xz_yz_and_power.pdf,G0,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native centre samples over z,one common global maximum across x-z and y-z; native integrated power,matched +/-3 mm,bicubic display only,False,G0_xz_yz_common,none
G0_profiles,outputs\figures\phase2b_visual_diagnostics\04_profiles\g0_native_profiles.png,outputs\figures\phase2b_visual_diagnostics\04_profiles\g0_native_profiles.pdf,G0,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native one-dimensional reductions,profile maxima; horizontal and vertical lines share one maximum,line plot +/-3 mm,none,False,,none
B0_xy_bundle,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\b0_xy_landmarks_and_sas_focus.png,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\b0_xy_landmarks_and_sas_focus.pdf,B0,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native fixed-grid landmarks plus SAS z60 physical resampling,independent plane peak for morphology; fixed 0..1 colour scale,native focus halfwidth 0.7 mm; SAS <=0.76 mm,bicubic native; lanczos SAS display only,False,,none
B0_xz_yz,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\b0_xz_yz_and_power.png,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\b0_xz_yz_and_power.pdf,B0,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native centre samples over z,one common global maximum across x-z and y-z; native integrated power,matched +/-0.7 mm,bicubic display only,False,B0_xz_yz_common,none
B0_profiles,outputs\figures\phase2b_visual_diagnostics\04_profiles\b0_native_profiles.png,outputs\figures\phase2b_visual_diagnostics\04_profiles\b0_native_profiles.pdf,B0,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native one-dimensional reductions,profile maxima; horizontal and vertical lines share one maximum,line plot +/-0.7 mm,none,False,,none
V1_xy_bundle,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\v1_xy_landmarks_and_sas_focus.png,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\v1_xy_landmarks_and_sas_focus.pdf,V1,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native fixed-grid landmarks plus SAS z60 physical resampling,independent plane peak for morphology; fixed 0..1 colour scale,native focus halfwidth 0.7 mm; SAS <=0.76 mm,bicubic native; lanczos SAS display only,False,,none
V1_xz_yz,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\v1_xz_yz_and_power.png,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\v1_xz_yz_and_power.pdf,V1,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native centre samples over z,one common global maximum across x-z and y-z; native integrated power,matched +/-0.7 mm,bicubic display only,False,V1_xz_yz_common,none
V1_profiles,outputs\figures\phase2b_visual_diagnostics\04_profiles\v1_native_profiles.png,outputs\figures\phase2b_visual_diagnostics\04_profiles\v1_native_profiles.pdf,V1,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native one-dimensional reductions,profile maxima; horizontal and vertical lines share one maximum,line plot +/-0.7 mm,none,False,,none
V3_xy_bundle,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\v3_xy_landmarks_and_sas_focus.png,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\v3_xy_landmarks_and_sas_focus.pdf,V3,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native fixed-grid landmarks plus SAS z60 physical resampling,independent plane peak for morphology; fixed 0..1 colour scale,native focus halfwidth 0.7 mm; SAS <=0.76 mm,bicubic native; lanczos SAS display only,False,,none
