label,sweep_parameter,sweep_value,compensated,h_channel_overlap_to_required,v_channel_overlap_to_required,pre_axicon_overlap_to_required,pre_axicon_stokes_rms,pre_axicon_alpha_rms,pre_axicon_power_ratio,phase_rms_error_rad_h,first_order_efficiency,zero_order_leakage_after_iris,rejected_power_fraction,reference_z_mm,z60_full_field_correlation,z60_central_crop_correlation,xz_map_correlation_to_v0,angular_profile_correlation_to_v0,c60,c120,c120_minus_c60,dark_core_ratio,ring_island_count,strict_class,best_plane_correlation,best_plane_z_mm,passes,failure_mode,correction
clean_baseline,clean,0.0,False,0.9495008853196867,0.949500139585201,0.949500512421771,0.522347255224885,0.5538718712738067,0.9497447421582029,0.0,0.9494996144584936,0.0,0.050500385541506376,60.0,0.9930574095679139,0.9930574285273172,0.9977903860014368,0.9987876847675541,0.860788437060783,0.8319230871689275,-0.02886534989185552,0.00149167284351455,0,visual_hexagonal_field,0.9955123188204718,72.575,True,none,
clean_plus_real_slm_aperture,slm_aperture_clip,1.0,False,0.9494866677713865,0.9494859222988109,0.9494862949969127,0.5223437091326746,0.5644584016670706,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985938014,0.9930577175449107,0.9977908316676191,0.9987874219982806,0.860794952698077,0.8319286853993294,-0.02886626729874764,0.0014917067224054794,0,visual_hexagonal_field,0.9955123490161348,72.575,True,none,
phase_levels_None,phase_levels,inf,False,0.9494866677713865,0.9494859222988109,0.9494862949969127,0.5223437091326746,0.5644584016670706,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985938014,0.9930577175449107,0.9977908316676191,0.9987874219982806,0.860794952698077,0.8319286853993294,-0.02886626729874764,0.0014917067224054794,0,visual_hexagonal_field,0.9955123490161348,72.575,True,none,
phase_levels_1024,phase_levels,1024.0,False,0.9494866340518352,0.9494858891721898,0.9494862615660217,0.5223516326922546,0.5644473139639095,0.949722840841523,0.0017713926620642076,0.9494926733234343,0.0,0.050507326676565656,60.0,0.9930589468313321,0.9930589657836537,0.9977889896120691,0.9987854565054957,0.8608195214617701,0.8319498857456147,-0.028869635716155417,0.0014928682761362582,0,visual_hexagonal_field,0.9955131677781542,72.575,True,none,
phase_levels_256,phase_levels,256.0,False,0.9494862608745444,0.9494855198662249,0.9494858903407343,0.5223352498293569,0.5644586660331278,0.9496820422791835,0.007067366089762268,0.9494518846487205,0.0,0.050548115351279455,60.0,0.9930573305203293,0.9930573494624745,0.9977925422710863,0.9987888399077064,0.8608436050914271,0.8319836462136886,-0.028859958877738512,0.0014927517545954613,0,visual_hexagonal_field,0.9955132302567229,72.575,True,none,
phase_levels_64,phase_levels,64.0,False,0.9494836189312388,0.9494828034684907,0.9494832111469546,0.5222408325129625,0.5644906329743179,0.9489638330329153,0.02834891323846114,0.9487338494621168,0.0,0.05126615053788319,60.0,0.9930537402479039,0.9930537592653718,0.9978067878217517,0.9987904961074789,0.8606918951413933,0.8317385145547903,-0.028953380586603017,0.0014844459121887996,0,visual_hexagonal_field,0.9955140008332104,72.575,True,none,
phase_levels_16,phase_levels,16.0,False,0.9494149804019935,0.9494146326375028,0.9494147994094843,0.5209931841138364,0.5639680253182409,0.9376973840695947,0.11335770960055695,0.9374701309486544,0.0,0.06252986905134561,60.0,0.9930285116887335,0.9930285306346435,0.9976983191734435,0.9985142343547848,0.8619676991072379,0.8338369274805911,-0.02813077162664679,0.001531698217080493,0,visual_hexagonal_field,0.9955116938452937,72.575,True,none,
hv_piston_rad_0.0,hv_piston_rad,0.0,False,0.9494866677713865,0.9494859222988109,0.9494862949969127,0.5223437091326746,0.5644584016670706,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985938014,0.9930577175449107,0.9977908316676191,0.9987874219982806,0.860794952698077,0.8319286853993294,-0.02886626729874764,0.0014917067224054794,0,visual_hexagonal_field,0.9955123490161348,72.575,True,none,
hv_piston_rad_0.1,hv_piston_rad,0.1,False,0.9494866677713865,0.9494859222988109,0.9471139556820588,0.5305290140881792,0.5658354879119093,0.9497280655422174,0.0,0.9494978967579103,0.0,0.0505021032420897,60.0,0.9930577819970856,0.9930578009481938,0.9977908533718517,0.9987873634676846,0.8607975964883285,0.8319318325375623,-0.028865763950766232,0.0015766398640053119,0,visual_hexagonal_field,0.9955123271719882,72.575,True,none,
hv_piston_rad_0.2,hv_piston_rad,0.2,False,0.9494866677713865,0.9494859222988103,0.9400218433970543,0.5542348853294649,0.5700012227893051,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.993057864222941,0.9930578831740484,0.9977908747041517,0.9987873055306602,0.8608002218614664,0.831934957565637,-0.028865264295829474,0.0016607232727141024,0,visual_hexagonal_field,0.9955123053577193,72.575,True,none,
