figure_id,panel_id,route_or_case,originating_module,originating_output_file_or_function,numerical_N,physical_window_m,z_planes,z_start_mm,z_end_mm,numerical_dx_m,samples_per_radial_fringe,display_interpolation_used,metrics_computed_on_native_data,higher_N_validated_source_exists,numerical_M_y,physical_window_y_m,samples_per_carrier_period,phase_convention,lut_applied,render_method,sas_pad_factor,native_input_N,native_input_dx_m,native_input_samples_per_radial_fringe,metrics_native_grid_N,metrics_native_dx_m,z_render_mm
fig2,sector_mask,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,alpha_theta,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,orientation_map,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,S0,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,S1,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,S2,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,S3,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,abs_Ex,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,abs_Ey,source_scale_target_vector_field,nathan_vector_hexagon.mode2n_source_target,fresh N=1536 source-grid target/Stokes field,1536,0.01,41,30.0,90.0,6.510416666666667e-06,9.882283473535496,True,True,False,,,,,,,,,,,,,
fig2,SLM1_native_wrapped_phase,native_panel_phase_mask,nathan_mode2v_lab_ready_build.build_native_masks,build_native_masks,1920,0.015359999999999999,0,,,8e-06,,False,True,False,1080,0.00864,20.0,phi_H = +alpha + carrier,False,,,,,,,,
fig2,SLM2_native_wrapped_phase,native_panel_phase_mask,nathan_mode2v_lab_ready_build.build_native_masks,build_native_masks,1920,0.015359999999999999,0,,,8e-06,,False,True,False,1080,0.00864,20.0,phi_V = -alpha + pi/2 + carrier,False,,,,,,,,
fig3A,V0_reference_linear_crop,V0_reference,nathan_mode2w_fix_sequential_master,fresh N=1536 source-scale field rendered with SAS-scaled z=60 zoom,1536,0.004741632,41,30.0,90.0,3.087e-06,20.84152349557177,True,True,False,,,,,,scalable_angular_spectrum_zoom,2,1536,6.510416666666667e-06,9.882283473535496,1536,6.510416666666667e-06,
fig3A,V0_reference_log_crop,V0_reference,nathan_mode2w_fix_sequential_master,fresh N=1536 source-scale field rendered with SAS-scaled z=60 zoom,1536,0.004741632,41,30.0,90.0,3.087e-06,20.84152349557177,True,True,False,,,,,,scalable_angular_spectrum_zoom,2,1536,6.510416666666667e-06,9.882283473535496,1536,6.510416666666667e-06,
fig3A,V0_reference_difference,V0_reference,nathan_mode2w_fix_sequential_master,fresh N=1536 source-scale field rendered with SAS-scaled z=60 zoom,1536,0.004741632,41,30.0,90.0,3.087e-06,20.84152349557177,True,True,False,,,,,,scalable_angular_spectrum_zoom,2,1536,6.510416666666667e-06,9.882283473535496,1536,6.510416666666667e-06,
fig3A,V0_reference_profiles,V0_reference,nathan_mode2w_fix_sequential_master,fresh N=1536 source-scale field rendered with SAS-scaled z=60 zoom,1536,0.004741632,41,30.0,90.0,3.087e-06,20.84152349557177,False,True,False,,,,,,scalable_angular_spectrum_zoom,2,1536,6.510416666666667e-06,9.882283473535496,1536,6.510416666666667e-06,
