parameter,label,tested_range,worst_tested_passing_value,first_failing_value,minimum_correlation,strict_class_status,units
phase_levels,phase quantisation,16 to 1024,1024,not reached,0.9930285116887335,visual_hexagonal_field,levels
fill_factor,fill factor,0.93 fixed validated hardware-realism setting,0.93,not reached,,visual_hexagonal_field at fixed setting,fraction
hv_amplitude_ratio,H/V imbalance,0.8 to 1.2,1.2,not reached,0.9827331567769217,visual_hexagonal_field,ratio
qwp_angle_error_deg,QWP angle,-2 to 2,-2,not reached,0.9930576320357246,visual_hexagonal_field,deg
qwp_retardance_error_deg,QWP retardance,-5 to 5,-5,not reached,0.9930576979435459,visual_hexagonal_field,deg
iris_radius_frac,iris radius,0.24 to 0.8,0.8,not reached,0.9843685618547207,visual_hexagonal_field,fraction of carrier
iris_decentre_fx_lpmm,iris decentre,-1.5 to 1.5,-1.5,not reached,0.9868732703179958,visual_hexagonal_field,lp/mm
hv_shift_um,H/V registration,0 to 160,160,not reached,0.9753420303634176,visual_hexagonal_field,um
axicon_decentre_mm,axicon decentre,0 to 1,0.2,0.5,0.7409739958612478,"triangular_lobed_field, visual_hexagonal_field",mm
z_offset_mm,z offset,-20 to 20,-20,not reached,0.9790537764385079,visual_hexagonal_field,mm
